Subject,,,,,,,,,
,Course No,Name,GenEd,Major 1,Pre req,,,,
,110,Elementary Catalan I,,,,,,,
Catalan,120,Elementary Catalan II,,,,,,,
Catalan,246,Intensive Intermediate Catalan,,,,,,,
Catalan,311,Advanced Intermediate Catalan,,,,,,,
Catalan,321,Catalan Culture,,,,,,,
Catalan,378,Catalan Phonetics,,,,,,,
Catalan,397T,Special Topics- Catalan Youtube,,,,,,,
Catalan,496,Independent Study,,,,,,,
Catalan,520,Old Catalan Literature,,,,,,,
Catalan,521,Modern Catalan Literature,,,,,,,
,,,,,,,,,
,,,,,,,,,
Civil and Environmental Engineering,121,Introduction to Civil and Environmental Engineering Measurements,,,,,,,
Civil and Environmental Engineering,211,Perspectives on the Evolution of Structures,SI,,,,,,
Civil and Environmental Engineering,240,Statics,,,,,,,
Civil and Environmental Engineering,241,Strength of Materials I,,,,,,,
Civil and Environmental Engineering,241A,Strength of Materials LAB,,,,,,,
Civil and Environmental Engineering,244,Programming for Civil Engineers,,,,,,,
Civil and Environmental Engineering,250,"Thermodynamics, Heat Transfer and Energy Systems",,,,,,,
Civil and Environmental Engineering,260,Probability & Statistics in Civil Engineering,,,,,,,
Civil and Environmental Engineering,270,Systems Analysis & Economics for Civil Engineers,,,,,,,
Civil and Environmental Engineering,275,AutoCAD in Civil Engineering,,,,,,,
Civil and Environmental Engineering,290B,History & Heritage of Civil & Environmental Engineering,,,,,,,
Civil and Environmental Engineering,310,Transportation,,,,,,,
Civil and Environmental Engineering,320,Soil Mechanics,,,,,,,
Civil and Environmental Engineering,331,Structural Analysis,,,,,,,
Civil and Environmental Engineering,357,Elementary Fluid Mechanics,,,,,,,
Civil and Environmental Engineering,370,Introduction to Environmental and Water Resources Engineering,,,,,,,
Civil and Environmental Engineering,397M,Special Topics- Brazil Scientific Mobility Program,,,,,,,
Civil and Environmental Engineering,410,Public Transportation Systems,,,,,,,
Civil and Environmental Engineering,411,Traffic Engineering,,,,,,,
Civil and Environmental Engineering,418,Intelligent Transportation Systems,,,,,,,
Civil and Environmental Engineering,421,Foundation Engineering,,,,,,,
Civil and Environmental Engineering,423,Engineering Geology,,,,,,,
Civil and Environmental Engineering,432,Advanced Structural Analysis,,,,,,,
Civil and Environmental Engineering,433,Design of Reinforced Concrete Structures,,,,,,,
Civil and Environmental Engineering,434,Design of Steel Structures,,,,,,,
Civil and Environmental Engineering,450,Highway Location and Geometric Design,,,,,,,
Civil and Environmental Engineering,455,Spatial Analysis for Civil Engineers,,,,,,,
Civil and Environmental Engineering,462,Water Resources Engineering and Sustainability,,,,,,,
Civil and Environmental Engineering,469,Water Supply and Wastewater Collection,,,,,,,
Civil and Environmental Engineering,470,GIS for Engineers,,,,,,,
Civil and Environmental Engineering,471,Water and Wastewater Systems,,,,,,,
Civil and Environmental Engineering,473,Groundwater,,,,,,,
Civil and Environmental Engineering,476,Solid and Hazardous Waste Management,,,,,,,
Civil and Environmental Engineering,485,Civil & Environmental Engineering Construction Methods and Materials,,,,,,,
