Subject,Course No,Name,Gen Ed,Major ,Major,Major,Pre req,Pre req,Pre req,Pre req
,,,,,,,,,,
Accounting,221,Principles of Financial Accounting,,,,,,,,
Accounting,222,Principles of Managerial Accounting,,,,,,,,
Accounting,311,Accounting Information Systems,,,,,,,,
Accounting,321,Intermediate Financial Accounting I,,,,,,,,
Accounting,322,Intermediate Financial Accounting II,,,,,,,,
Accounting,331,Cost Acctg,,,,,,,,
Accounting,371,Individual Taxation,,,,,,,,
Accounting,423,Advanced Financial Accounting,,,,,,,,
Accounting,483,CPA Law,,,,,,,,
,,,,,,,,,,
AeroSpace,111,Foundation of US Air Force I,,,,,,,,
Aerospace,112,Air Force Today II,,,,,,,,
Aerospace,191A,SAdv Physcl Condtng,,,,,,,,
Aerospace,223,Evolution of USAF Air & Space Power I,,,,,,,,
Aerospace,335,Leadership Studies I,,,,,,,,
Aerospace,336,Air Frc Ldrshmgt II,,,,,,,,
Aerospace,442,Natl Security Pol II,,,,,,,,
Aerospace,490,Security Studies,,,,,,,,
Aerospace,490R,Security Studies: Research,,,,,,,,
,,,,,,,,,,
AfroAmerican,101,Introduction to Black Studies,,,,,,,,
AfroAmerican,111,Survey African Art,,,,,,,,
AfroAmerican,112,Introduction to Clay and Plaster,,,,,,,,
AfroAmerican,113,African Diaspora Arts,,,,,,,,
AfroAmerican,117,Survey Of AfroAmerican Literature,,,,,,,,
AfroAmerican,118,Survey of AfroAmerican Literature II,AL U,,,,,,,
AfroAmerican,132,AfricanAmerican History 16191860,HS U,,,,,,,
AfroAmerican,133,"AfricanAmerican History, Civil War1954",HS U,,,,,,,
AfroAmerican,151,Literature & Culture,AL U,,,,,,,
AfroAmerican,155,Revolutionay Concepts in AfroAmerican Music I,,,,,,,,
AfroAmerican,156,Rev Concepts in AfricanAmerican Music,,,,,,,,
AfroAmerican,161,Introduction to AfroAmerican Political Science,,,,,,,,
AfroAmerican,170,The Grassroots Experience in American Life and Culture I,,,,,,,,
AfroAmerican,171,The Grassroots Experience in American Life and Culture II,,,,,,,,
AfroAmerican,190G,Racism: the American Experience,,,,,,,,
AfroAmerican,222,Black Church In America,,,,,,,,
AfroAmerican,232,History of Black Nationalism,,,,,,,,
AfroAmerican,234,Literature of Harlem Renaissance,AL U,,,,,,,
